mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04506993293762207,0.005376701448489227,0.02555384635925293,0.002271042794292353,euclidean,7,2,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.772189349112426,0.8017751479289941,0.8372781065088757,0.8189910979228486,0.7893175074183977,0.8039102417783084,0.022647596658782517,58
0.042670249938964844,0.0023849786536813125,0.024322128295898436,0.0038374415202623116,euclidean,7,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8017751479289941,0.8195266272189349,0.8579881656804734,0.8338278931750742,0.7863501483679525,0.8198935964742858,0.024895528042343892,49
0.03659653663635254,0.0020857390655078553,0.022017908096313477,0.0029482639565933926,euclidean,9,1,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7603550295857988,0.772189349112426,0.8254437869822485,0.8041543026706232,0.8011869436201781,0.792665882394255,0.02341906462049061,67
0.03262629508972168,0.001888218163584177,0.0203155517578125,0.00047736659698574676,euclidean,9,1,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7958579881656804,0.7988165680473372,0.834319526627219,0.8219584569732937,0.8130563798219584,0.8128017839270978,0.014349921318678795,55
0.0311276912689209,0.001731826141182814,0.019999074935913085,0.0006579260700935862,euclidean,9,2,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.7603550295857988,0.772189349112426,0.8254437869822485,0.8041543026706232,0.8011869436201781,0.792665882394255,0.02341906462049061,67
0.03057107925415039,0.0017819932573033873,0.021189498901367187,0.0017098608268133744,euclidean,9,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7958579881656804,0.7988165680473372,0.834319526627219,0.8219584569732937,0.8130563798219584,0.8128017839270978,0.014349921318678795,55
0.031534671783447266,0.0023151515981054962,0.02146601676940918,0.0010826450484380413,euclidean,11,1,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7514792899408284,0.7485207100591716,0.7958579881656804,0.8011869436201781,0.7774480712166172,0.7748986006004952,0.021822602628626363,73
0.03282151222229004,0.0015938860491153106,0.019869279861450196,0.002670294154534937,euclidean,11,1,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7781065088757396,0.7928994082840237,0.8195266272189349,0.8130563798219584,0.7922848664688428,0.7991747581338998,0.01508389701399022,64
0.032954835891723634,0.00261572019961287,0.01944761276245117,0.0016605291808908058,euclidean,11,2,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.7514792899408284,0.7485207100591716,0.7958579881656804,0.8011869436201781,0.7774480712166172,0.7748986006004952,0.021822602628626363,73
0.03143529891967774,0.006042010592409281,0.022273826599121093,0.007266131129990861,euclidean,11,2,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7781065088757396,0.7928994082840237,0.8195266272189349,0.8130563798219584,0.7922848664688428,0.7991747581338998,0.01508389701399022,64
